fips,metro,class,net_international,net_domestic,,,,,,,,
35620,"New York-Newark-Jersey City, NY-NJ-PA",1,848704,-902616,,,,,,,,
31080,"Los Angeles-Long Beach-Anaheim, CA",1,315879,-372990,,,,,,,,
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,148505,-409167,,,,,,,,
19100,"Dallas-Fort Worth-Arlington, TX",3,140476,304468,,,,,,,,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,123139,-127868,,,,,,,,
26420,"Houston-The Woodlands-Sugar Land, TX",3,193618,283239,,,,,,,,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,245540,-46264,,,,,,,,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,381468,-6762,,,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA",3,104223,153366,,,,,,,,
14460,"Boston-Cambridge-Newton, MA-NH",1,182201,-36483,,,,,,,,
41860,"San Francisco-Oakland-Hayward, CA",2,164527,42847,,,,,,,,
19820,"Detroit-Warren-Dearborn, MI",1,71848,-130532,,,,,,,,
40140,"Riverside-San Bernardino-Ontario, CA",3,33845,59453,,,,,,,,
38060,"Phoenix-Mesa-Scottsdale, AZ",3,61506,215447,,,,,,,,
42660,"Seattle-Tacoma-Bellevue, WA",2,114434,105516,,,,,,,,
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,65095,-8015,,,,,,,,
41740,"San Diego-Carlsbad, CA",1,89838,-15477,,,,,,,,
41180,"St. Louis, MO-IL",1,25293,-57902,,,,,,,,
45300,"Tampa-St. Petersburg-Clearwater, FL",3,67450,163157,,,,,,,,
12580,"Baltimore-Columbia-Towson, MD",1,54506,-26498,,,,,,,,
19740,"Denver-Aurora-Lakewood, CO",3,36967,154847,,,,,,,,
38300,"Pittsburgh, PA",1,22588,-11742,,,,,,,,
38900,"Portland-Vancouver-Hillsboro, OR-WA",3,30421,94284,,,,,,,,
16740,"Charlotte-Concord-Gastonia, NC-SC",3,32743,142873,,,,,,,,
40900,"Sacramento--Roseville--Arden-Arcade, CA",3,37485,38745,,,,,,,,
41700,"San Antonio-New Braunfels, TX",3,33534,146511,,,,,,,,
36740,"Orlando-Kissimmee-Sanford, FL",3,99877,131588,,,,,,,,
17140,"Cincinnati, OH-KY-IN",1,22632,-23149,,,,,,,,
17460,"Cleveland-Elyria, OH",1,24520,-58375,,,,,,,,
28140,"Kansas City, MO-KS",2,20101,5866,,,,,,,,
29820,"Las Vegas-Henderson-Paradise, NV",3,37716,87856,,,,,,,,
18140,"Columbus, OH",2,35607,29167,,,,,,,,
26900,"Indianapolis-Carmel-Anderson, IN",2,25954,21365,,,,,,,,
41940,"San Jose-Sunnyvale-Santa Clara, CA",1,101547,-47033,,,,,,,,
12420,"Austin-Round Rock, TX",3,37592,192375,,,,,,,,
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,33558,-41540,,,,,,,,
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",3,25807,104331,,,,,,,,
39300,"Providence-Warwick, RI-MA",1,32600,-28789,,,,,,,,
33340,"Milwaukee-Waukesha-West Allis, WI",1,17750,-42639,,,,,,,,
27260,"Jacksonville, FL",3,24572,68237,,,,,,,,
32820,"Memphis, TN-MS-AR",1,8729,-36854,,,,,,,,
36420,"Oklahoma City, OK",3,18645,51983,,,,,,,,
31140,"Louisville/Jefferson County, KY-IN",2,15645,8475,,,,,,,,
25540,"Hartford-West Hartford-East Hartford, CT",1,32768,-46980,,,,,,,,
40060,"Richmond, VA",2,21538,21389,,,,,,,,
35380,"New Orleans-Metairie, LA",3,19273,27417,,,,,,,,
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1,21291,-22091,,,,,,,,
39580,"Raleigh, NC",3,23662,90756,,,,,,,,
13820,"Birmingham-Hoover, AL",1,5997,-5122,,,,,,,,
41620,"Salt Lake City, UT",2,19062,2006,,,,,,,,
40380,"Rochester, NY",1,18770,-32196,,,,,,,,
24340,"Grand Rapids-Wyoming, MI",2,10953,8480,,,,,,,,
46060,"Tucson, AZ",2,12768,3372,,,,,,,,
46520,"Urban Honolulu, HI",1,37541,-33833,,,,,,,,
46140,"Tulsa, OK",3,8165,14974,,,,,,,,
23420,"Fresno, CA",1,9095,-18578,,,,,,,,
49340,"Worcester, MA-CT",1,23630,-16559,,,,,,,,
14860,"Bridgeport-Stamford-Norwalk, CT",1,34293,-27971,,,,,,,,
10740,"Albuquerque, NM",1,6355,-6435,,,,,,,,
10580,"Albany-Schenectady-Troy, NY",1,15557,-11747,,,,,,,,
36540,"Omaha-Council Bluffs, NE-IA",2,12280,5239,,,,,,,,
35300,"New Haven-Milford, CT",1,23679,-36369,,,,,,,,
12540,"Bakersfield, CA",1,9557,-17002,,,,,,,,
28940,"Knoxville, TN",3,4428,23059,,,,,,,,
24860,"Greenville-Anderson-Mauldin, SC",3,8096,34986,,,,,,,,
37100,"Oxnard-Thousand Oaks-Ventura, CA",1,8141,-14185,,,,,,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ",1,17256,-6914,,,,,,,,
21340,"El Paso, TX",1,15805,-32274,,,,,,,,
12940,"Baton Rouge, LA",1,7503,-2313,,,,,,,,
19380,"Dayton, OH",1,9453,-16012,,,,,,,,
32580,"McAllen-Edinburg-Mission, TX",1,9548,-11749,,,,,,,,
17900,"Columbia, SC",3,9378,21365,,,,,,,,
24660,"Greensboro-High Point, NC",2,9951,9306,,,,,,,,
10420,"Akron, OH",1,8021,-11860,,,,,,,,
35840,"North Port-Sarasota-Bradenton, FL",3,12444,85884,,,,,,,,
30780,"Little Rock-North Little Rock-Conway, AR",3,6496,7275,,,,,,,,
44700,"Stockton-Lodi, CA",3,7924,8969,,,,,,,,
16700,"Charleston-North Charleston, SC",3,6348,61852,,,,,,,,
45060,"Syracuse, NY",1,12005,-26301,,,,,,,,
17820,"Colorado Springs, CO",3,10637,22174,,,,,,,,
49180,"Winston-Salem, NC",3,4285,8934,,,,,,,,
48620,"Wichita, KS",1,6942,-15386,,,,,,,,
44140,"Springfield, MA",1,22314,-18317,,,,,,,,
15980,"Cape Coral-Fort Myers, FL",3,17122,83741,,,,,,,,
14260,"Boise City, ID",3,4713,41683,,,,,,,,
45780,"Toledo, OH",1,3867,-19226,,,,,,,,
31540,"Madison, WI",3,10830,11435,,,,,,,,
29460,"Lakeland-Winter Haven, FL",3,16681,38612,,,,,,,,
36260,"Ogden-Clearfield, UT",3,4284,7705,,,,,,,,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",3,8180,50624,,,,,,,,
19780,"Des Moines-West Des Moines, IA",3,9697,26866,,,,,,,,
27140,"Jackson, MS",1,3073,-7332,,,,,,,,
49660,"Youngstown-Warren-Boardman, OH-PA",1,2021,-13824,,,,,,,,
12260,"Augusta-Richmond County, GA-SC",3,5722,9771,,,,,,,,
42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,8077,-7360,,,,,,,,
25420,"Harrisburg-Carlisle, PA",1,10150,-566,,,,,,,,
37340,"Palm Bay-Melbourne-Titusville, FL",3,7697,35263,,,,,,,,
16860,"Chattanooga, TN-GA",3,3376,14250,,,,,,,,
44060,"Spokane-Spokane Valley, WA",3,5427,12394,,,,,,,,
39340,"Provo-Orem, UT",3,5017,8394,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
